Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
332; 2.41; NA; NA; 0.001; 0.0; 0.02575; 39767.479268902425;
333; 2.501; NA; NA; 0.001; 0.0; 0.02604; 39329.761693710854;
334; 2.418; NA; NA; 0.001; 0.0; 0.02579; 39709.38698224852;
335; 2.418; NA; NA; 0.001; 0.0; 0.02539; 40327.952751617355;
336; 2.438; NA; NA; 0.001; 0.0; 0.02529; 40486.09413206391;
337; 2.431; NA; NA; 0.001; 0.0; 0.02531; 40463.20878044185;
338; 2.369; NA; NA; 0.001; 0.0; 0.02553; 40115.51203474525;
339; 2.449; NA; NA; 0.001; 0.0; 0.02519; 40645.096015898554;
340; 2.392; NA; NA; 0.001; 0.0; 0.02515; 40715.60757249709;
341; 2.421; NA; NA; 0.001; 0.0; 0.02489; 41145.83936235438;
342; 2.334; NA; NA; 0.001; 0.0; 0.02507; 40840.272866447965;
343; 2.345; NA; NA; 0.001; 0.0; 0.02491; 41109.60695279299;
344; 2.345; NA; NA; 0.001; 0.0; 0.02502; 40924.71791744483;
345; 2.489; NA; NA; 0.001; 0.0; 0.02505; 40881.86807287403;
346; 2.382; NA; NA; 0.001; 0.0; 0.0271; 37781.86892802477;
347; 2.419; NA; NA; 0.001; 0.0; 0.02693; 38022.01926345609;
348; 2.494; NA; NA; 0.001; 0.0; 0.0269; 38073.250975108145;
349; 2.459; NA; NA; 0.001; 0.0; 0.02703; 37882.17447983277;
