Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
2370; 5.932; 5.829; 0.0005892; 0.7713; 0.9202; 8902.118535875345;
2380; 5.909; 5.81; 0.0005891; 0.7049; 0.9247; 8859.429580406382;
2390; 5.879; 5.789; 0.000589; 1.145; 0.9262; 8844.95453231432;
2400; 5.905; 5.817; 0.0005889; 1.358; 0.9329; 8781.532258192305;
2410; 5.901; 5.808; 0.0005887; 0.8048; 0.9283; 8824.84988985548;
2420; 5.904; 5.808; 0.0005886; 0.6566; 0.9326; 8784.43965483741;
2430; 5.886; 5.789; 0.0005885; 1.08; 0.9355; 8756.982795812928;
2440; 5.93; 5.833; 0.0005883; 0.6882; 0.9263; 8844.194117639488;
2450; 5.939; 5.846; 0.0005882; 0.677; 0.939; 8723.821257798752;
2460; 5.927; 5.822; 0.0005881; 0.7026; 0.9197; 8906.874590717442;
2470; 5.907; 5.803; 0.0005879; 0.665; 0.9266; 8841.024096862957;
2480; 5.898; 5.793; 0.0005878; 0.6676; 0.9298; 8810.815118919985;
2490; 5.897; 5.788; 0.0005876; 0.7687; 0.9223; 8881.840728461242;
2500; 5.895; 5.796; 0.0005875; 0.7585; 0.9339; 8771.641335168346;
2510; 5.888; 5.785; 0.0005874; 0.7928; 0.9266; 8841.374439690355;
2520; 5.885; 5.782; 0.0005872; 0.8649; 0.9181; 8922.739387027028;
2530; 5.894; 5.788; 0.0005871; 0.6759; 0.9373; 8739.542449420403;
2540; 5.879; 5.772; 0.0005869; 1.11; 0.919; 8913.616994318952;
2550; 5.869; 5.759; 0.0005868; 0.6754; 0.9262; 8844.506008440956;
2560; 5.892; 5.781; 0.0005867; 1.25; 0.9216; 8888.60965357958;
2570; 5.854; 5.751; 0.0005865; 0.6473; 0.9281; 8827.058059414569;
2580; 5.848; 5.751; 0.0005864; 0.8095; 0.937; 8743.24298614048;
2590; 5.858; 5.749; 0.0005862; 0.8385; 0.9282; 8825.681791164696;
2600; 5.864; 5.761; 0.0005861; 0.7443; 0.9281; 8826.212295140922;
2610; 5.857; 5.75; 0.0005859; 0.6468; 0.9321; 8788.834710329465;
2620; 5.833; 5.723; 0.0005858; 0.6944; 0.9285; 8822.457064785212;
2630; 5.829; 5.721; 0.0005856; 0.6752; 0.9341; 8769.861454531903;
2640; 5.841; 5.721; 0.0005855; 0.7805; 0.9258; 8848.510180757177;
2650; 5.825; 5.711; 0.0005853; 0.6086; 0.9373; 8739.535780608512;
2660; 5.815; 5.716; 0.0005852; 0.9031; 0.9242; 8864.176707005514;
2670; 5.851; 5.76; 0.000585; 0.8494; 0.9345; 8766.478315557863;
2680; 5.825; 5.732; 0.0005849; 0.7483; 0.9253; 8853.08593149937;
2690; 5.89; 5.79; 0.0005847; 0.8616; 0.9318; 8792.034900243165;
2700; 5.843; 5.745; 0.0005846; 0.7866; 0.9336; 8774.499610430703;
2710; 5.816; 5.71; 0.0005844; 0.7472; 0.9257; 8849.617776019517;
2720; 5.809; 5.703; 0.0005843; 0.7118; 0.9227; 8877.980675000388;
2730; 5.785; 5.677; 0.0005841; 0.6132; 0.9277; 8830.258918732216;
2740; 5.801; 5.692; 0.0005839; 0.6513; 0.9264; 8842.557620664771;
2750; 5.787; 5.679; 0.0005838; 0.6616; 0.9294; 8814.17830582302;
2760; 5.777; 5.674; 0.0005836; 0.7669; 0.9311; 8798.491843024081;
2770; 5.801; 5.694; 0.0005835; 0.8559; 0.9366; 8746.597078929984;
2780; 5.777; 5.673; 0.0005833; 0.6359; 0.9391; 8723.53553877636;
2790; 5.769; 5.656; 0.0005832; 0.7685; 0.9427; 8689.808736257997;
2800; 5.808; 5.685; 0.000583; 0.7227; 0.9372; 8740.809708376282;
2810; 5.881; 5.782; 0.0005828; 1.552; 0.9282; 8825.937966746305;
2820; 5.816; 5.705; 0.0005827; 0.7231; 0.932; 8789.835222079333;
2830; 5.789; 5.686; 0.0005825; 0.8236; 0.9321; 8788.722307512471;
2840; 5.819; 5.698; 0.0005823; 0.7424; 0.9263; 8843.930052114207;
2850; 5.788; 5.675; 0.0005822; 0.8076; 0.9307; 8802.244735008402;
2860; 5.785; 5.676; 0.000582; 0.7225; 0.9195; 8909.290331246099;
2870; 5.766; 5.663; 0.0005818; 0.8188; 0.9208; 8896.46450048017;
2880; 5.746; 5.636; 0.0005817; 0.6896; 0.9243; 8862.786554565491;
2890; 5.761; 5.65; 0.0005815; 1.861; 0.9227; 8878.28118888222;
2900; 5.766; 5.661; 0.0005813; 0.6877; 0.9308; 8800.686839927454;
2910; 5.752; 5.638; 0.0005812; 0.6245; 0.9325; 8785.183089876738;
2920; 5.742; 5.632; 0.000581; 0.9789; 0.9295; 8813.65150823349;
2930; 5.735; 5.631; 0.0005808; 0.7722; 0.9281; 8826.74286289724;
2940; 5.733; 5.636; 0.0005807; 0.6929; 0.9254; 8852.116580892885;
2950; 5.742; 5.631; 0.0005805; 0.6504; 0.9212; 8892.916248589443;
2960; 5.742; 5.637; 0.0005803; 0.7174; 0.9315; 8794.332467202727;
2970; 5.724; 5.631; 0.0005801; 0.7845; 0.9271; 8836.413080254068;
2980; 5.722; 5.627; 0.00058; 0.7555; 0.9172; 8931.137537706141;
2990; 5.74; 5.651; 0.0005798; 0.7272; 0.9281; 8826.37553996457;
3000; 5.72; 5.629; 0.0005796; 0.7698; 0.9365; 8747.844113045614;
3010; 5.752; 5.66; 0.0005794; 0.7794; 0.9187; 8916.89020515232;
3020; 5.708; 5.607; 0.0005793; 0.9814; 0.935; 8761.725748755856;
3030; 5.686; 5.588; 0.0005791; 0.6844; 0.9243; 8863.241507113347;
3040; 5.682; 5.588; 0.0005789; 0.7207; 0.9294; 8813.895681260838;
3050; 5.676; 5.582; 0.0005787; 0.6119; 0.934; 8770.559887605286;
3060; 5.68; 5.577; 0.0005785; 0.6502; 0.9296; 8812.799269527257;
3070; 5.654; 5.556; 0.0005784; 0.6568; 0.9252; 8854.41827961672;
3080; 5.638; 5.54; 0.0005782; 0.8837; 0.9386; 8727.99843524797;
3090; 5.646; 5.542; 0.000578; 0.7517; 0.9211; 8893.639024218526;
3100; 5.658; 5.552; 0.0005778; 0.7045; 0.9328; 8782.367236102042;
3110; 5.657; 5.554; 0.0005776; 1.055; 0.9288; 8819.658019519931;
3120; 5.668; 5.569; 0.0005775; 0.7312; 0.9329; 8781.370667902951;
